name,bus0,bus1,c_nfkm,,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm
1,1,2_220kV,11.5,3,50,67129,1.3,43.379,43379,1,TenneT,Leitung 2016,0.08,2016,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)",0.32
2,3,4,27.4,6,50,67131,5.2,72.686,72686,2,TenneT,Leitung 3011,0.0125,,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)",0.125
3,5_220kV,6,23,6,50,67151,2.6,33.943,33943,2,TenneT,Leitung 2024,0.04,1,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)",0.16
4,7,5,13.7,3,50,67153,2.6,33.471,33471,1,TenneT,Leitung 3026,0.025,3026,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,10.3662749375017 52.2846467462009)",0.25
5,8,9,27.4,6,50,67585,5.2,28.163,28163,2,transpower,KKW Krümmel - UW Lüneburg,0.0125,,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.3787705903765 53.2197927685849)",0.125
6,10_220kV,11,11.5,3,50,69042,1.3,27.565,27565,1,50Hertz,295,0.08,295,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2061029867985 52.6571362773373)",0.32
7,11,12_220kV,11.5,3,50,69043,1.3,45.809,45809,1,50Hertz,293,0.08,293,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(13.2061029867985 52.6571362773373,13.7096697058228 52.5397952580643)",0.32
8,10_220kV,12_220kV,11.5,3,50,69045,1.3,68.39,68390,1,50Hertz,294,0.08,294,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.7096697058228 52.5397952580643)",0.32
9,13_220kV,14,11.5,3,50,69488,1.3,39.282,39282,1,TenneT TSO GmbH,Oba-Nfi I,0.08,263,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8132328973194 48.2212664654998)",0.32
10,13,15,6.85,3,50,69489,1.3,44.323,44323,0.5,transpower,Oba-Oh,0.05,461,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)",0.5
11,16,5,13.7,3,50,71281,2.6,36.253,36253,1,TenneT,Leitung 3023,0.025,2,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)",0.25
12,17,18,10.275,3,50,109962,1.95,200.291,200291,0.75,50Hertz,518,0.033333,518,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.6834769666546 54.1390906406635)",0.333333
13,17,12,10.275,3,50,109969,1.95,24.268,24268,0.75,50Hertz,520,0.033333,520,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.7096697058228 52.5397952580643)",0.333333
14,13,15,6.85,3,50,112804,1.3,44.371,44371,0.5,transpower,Oba-Oh,0.05,462,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)",0.5
15,14,15_220kV,23,6,50,112810,2.6,5.432,5432,2,,Nfi-Oh,0.04,286;287,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8681562938884 48.2068029185353)",0.16
16,13_220kV,19,23,6,50,114252,2.6,30.996,30996,2,TenneT,OBR-OBA,0.04,269;270,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.2939727001158 48.0520427719624)",0.16
17,20,21,6.85,3,50,114696,1.3,31.287,31287,0.5,50Hertz,Hamburg/Ost - Hamburg/Nord,0.05,A,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,10.1575015165126 53.5551316685834)",0.5
18,20,22,13.7,3,50,114718,2.6,57.378,57378,1,50Hertz,Brunsbüttel - Hamburg/Nord,0.025,G,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.20210420095253 53.8951574100045)",0.25
19,20_220kV,23,0.0115,3,50,114723,1.3,3.313,3313,1,,UW HH-Nord - UW Ulzburg,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.98853660865951 53.766277668594)",0.32
20,23,24_220kV,0.00575,6,50,114724,0.65,62.919,62919,2,TenneT,UW Hamburg Nord - UW Audorf,0.04,,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.72699196993402 54.2914209867842)",0.16
21,25,26,0.0137,6,50,114738,0.26,8.193,8193,1,TenneT,308 AKW Brokdorf - UW Wilster,0.025,308,1711.266198,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.34400177215961 53.8517774635399)",0.25
22,25,22,0.0274,3,50,114742,0.52,10.275,10275,0.5,TenneT,309 AKW Brunsbüttel - UW Wilster,0.05,309,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.20210420095253 53.8951574100045)",0.5
23,23,27,0.0115,3,50,114747,1.3,41.954,41954,1,TenneT,AKW Stade - UW Hamburg Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.52960512906833 53.6189906941937)",0.32
24,28,23,0.0115,3,50,114752,1.3,19.423,19423,1,TenneT,UW Kummerfeld - UW Hamburg Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.77654483874895 53.6906352606291,9.98853660865951 53.766277668594)",0.32
25,8,21,0.0274,3,50,114782,0.52,28.576,28576,0.5,50Hertz,991;992,0.05,991;992,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.1575015165126 53.5551316685834)",0.5
